date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time,
19/3/2021,1,2573,1,321,0,35,0,2198,
29/5/2021,460,6857,218,3733,0,47,0,2897,
3/1/2021,12,1497,12,116,0,35,2,1339,
24/1/2021,0,1543,0,0,0,35,0,1404,
5/10/2020,1,1104,1,36,0,35,2,1024,
28/10/2020,1,1178,1,72,0,35,0,1063,
1/3/2021,13,2463,5,530,0,35,16,1891,
23/8/2020,2,1021,1,420,1,27,5,572,
3/8/2021,8361,168658,5467,125724,377,2068,0,8679,
12/7/2021,4063,27247,2828,20847,0,105,220,8269,
20/12/2020,2,1416,2,106,0,35,0,1269,
29/6/2021,201,16252,319,9135,4,80,245,6798,
11/7/2021,0,23186,1882,18019,0,105,0,8051,
27/5/2020,1,338,0,49,0,0,6,280,
5/6/2021,254,8542,192,5016,2,53,69,3308,
4/5/2021,15,2998,11,316,0,35,0,2560,
2/8/2020,35,624,33,242,3,6,0,375,
25/9/2020,0,1075,0,29,0,35,8,1001,
5/12/2020,4,1369,4,107,0,35,0,1220,
2/3/2021,11,2474,11,535,0,35,6,1897,
23/12/2021,16146,1590906,0,0,275,30411,0,0,
25/1/2021,1,1552,0,86,0,35,14,1425,
3/5/2021,19,2983,16,305,0,35,11,2560,
27/1/2021,0,1546,0,0,0,35,0,1423,
1/5/2020,0,283,0,51,0,0,0,232,
29/10/2021,4847,1101329,0,0,56,21958,0,8679,
29/5/2020,0,338,0,48,0,0,1,281,
30/11/2021,13680,1232599,0,0,196,25236,0,0,
6/5/2020,0,284,0,39,0,0,0,243,
20/8/2020,14,1012,5,439,0,25,9,546,
22/3/2021,3,2577,2,290,0,35,35,2233,
26/1/2021,2,1554,0,83,0,35,5,1430,
3/4/2020,4,241,0,0,0,0,10,87,
31/1/2021,50,1820,36,322,0,35,1,1457,
22/4/2020,0,281,0,45,0,0,7,225,
26/9/2020,0,1072,0,0,0,35,0,998,
15/9/2020,0,1070,0,87,0,35,5,934,
11/6/2020,0,343,0,11,0,0,1,323,
24/10/2020,12,1165,11,71,0,35,2,1052,
30/10/2021,5005,1105983,0,0,64,22022,0,8679,
7/5/2020,17,301,17,55,0,0,1,244,
31/10/2020,3,1185,4,79,0,35,0,1063,
12/10/2020,1,1115,1,46,0,35,1,1026,
1/8/2020,40,589,38,209,2,3,0,375,
23/11/2020,5,1316,2,125,0,35,9,1151,
17/7/2021,2106,40738,1589,34934,0,225,0,8679,
11/10/2020,2,1114,2,46,0,35,0,1025,
3/1/2022,15822,1764421,0,0,178,32905,0,0,
24/4/2020,2,283,2,45,0,0,1,227,
27/9/2020,4,1080,5,34,0,35,0,1001,
16/5/2020,5,331,5,58,0,0,0,266,
10/7/2021,1620,23186,1251,16269,1,105,0,8051,
5/1/2022,16962,1803152,0,0,228,33352,0,0,
7/12/2021,13542,1330172,0,0,230,26665,0,0,
28/12/2021,14326,1666808,0,0,210,31521,0,0,
17/9/2021,11495,666054,0,0,212,16451,0,8679,
2/1/2022,16730,1748689,0,0,238,32727,0,0,
5/1/2021,7,1507,7,125,0,35,0,1339,
1/8/2021,8577,152881,7686,114711,0,1304,0,8679,
29/12/2020,3,1457,3,97,0,35,1,1319,
31/5/2021,214,7322,200,4175,0,47,80,3028,
19/3/2020,6,62,0,0,0,0,0,16,
23/4/2020,0,281,0,44,0,0,1,226,
2/7/2021,591,17912,523,10209,3,84,149,7427,
24/8/2020,6,1027,2,406,0,27,20,592,
5/4/2020,1,245,0,0,0,0,0,92,
24/6/2020,3,358,3,23,0,0,1,331,
31/8/2020,3,1048,3,301,2,34,12,712,
18/3/2020,0,56,0,0,0,0,0,16,
9/4/2020,12,268,0,0,0,0,15,138,
4/9/2020,3,1057,2,225,0,35,26,793,
10/10/2021,3483,882118,0,0,113,20551,0,8679,
22/10/2020,4,1153,4,61,0,35,3,1050,
13/4/2020,12,278,120,120,0,0,3,149,
16/7/2020,8,387,8,28,0,0,1,355,
7/12/2020,1,1371,1,105,0,35,4,1224,
11/8/2021,8756,235247,7752,159536,342,4486,0,8679,
17/10/2020,2,1131,2,56,0,35,0,1032,
4/2/2021,46,1959,64,453,0,35,4,1465,
10/8/2020,8,852,1,433,4,15,4,401,
14/5/2020,0,301,0,28,0,0,8,266,
18/9/2021,9350,675404,0,0,219,16670,0,8679,
7/6/2020,2,342,2,24,0,0,0,309,
8/11/2021,7900,1206328,0,0,66,22587,0,8679,
18/8/2021,8784,300376,6235,183214,298,6768,0,8679,
28/10/2021,4857,1096815,0,0,53,21902,0,8679,
24/5/2021,187,5405,212,2457,2,44,73,2794,
26/9/2021,10000,755027,0,0,184,18396,0,8679,
31/10/2021,5466,1111077,0,0,53,22075,0,8679,
29/7/2020,28,464,28,90,0,0,4,371,
15/7/2021,854,31319,5920,31385,75,207,71,8615,
19/7/2021,0,43439,6060,46771,0,254,0,8679,
23/12/2020,1,1424,1,102,0,35,0,1281,
19/10/2020,6,1145,6,55,0,35,15,1047,
4/4/2020,3,244,0,0,0,0,5,92,
8/1/2022,16260,1861210,0,0,238,33976,0,0,
19/6/2021,208,13637,212,7531,2,64,321,5584,
7/7/2021,1606,21571,460,11891,1,98,0,8051,
8/8/2020,21,814,21,404,0,10,0,397,
9/10/2020,5,1111,5,42,0,35,1,1025,
12/5/2021,86,3623,38,865,0,35,18,2636,
20/3/2021,1,2574,1,322,0,35,0,2198,
23/11/2021,10931,1189318,0,0,167,24104,0,0,
4/6/2021,224,8288,114,4840,2,51,156,3239,
21/6/2021,366,13637,0,7729,5,69,399,5584,
2/9/2020,6,1054,2,259,0,34,12,758,
10/4/2020,11,271,0,0,0,0,17,148,
22/5/2021,146,5087,155,2194,0,41,32,2721,
2/8/2021,7420,160301,6400,120257,387,1691,0,8679,
5/4/2021,6,2639,5,165,0,35,33,2416,
5/8/2021,7239,183502,6913,138002,393,2717,0,8679,
3/8/2020,23,647,22,262,0,6,1,376,
2/10/2021,5471,846718,0,0,164,19598,0,8679,
25/6/2021,421,14544,141,7892,2,74,190,5987,
19/11/2021,9494,1110172,0,0,102,23565,0,0,
13/8/2020,25,911,10,464,3,20,18,423,
9/6/2021,407,9586,358,5749,0,55,89,3763,
17/5/2021,184,4360,179,1546,1,37,0,2668,
30/5/2021,251,7108,253,3983,0,47,53,2948,
10/8/2021,8371,226491,7001,152072,388,4144,0,8679,
3/7/2021,489,18401,884,9865,0,84,248,7674,
21/9/2021,11687,705973,0,0,240,17358,0,8679,
18/6/2021,400,13635,206,7474,1,62,80,5584,
16/12/2021,14954,1483005,0,0,241,28810,0,0,
25/5/2021,370,5775,468,2924,0,44,0,2794,
19/12/2021,16090,1528138,0,0,214,29458,0,0,
25/3/2020,1,96,0,0,0,0,0,17,
25/8/2020,7,1034,5,409,0,27,4,596,
26/10/2021,3533,1088031,0,0,64,21795,0,8679,
5/5/2020,0,284,0,39,0,0,11,243,
26/3/2020,9,104,0,0,0,0,0,17,
20/7/2020,2,390,2,24,0,0,3,362,
28/11/2021,12634,1203968,0,0,190,24868,0,0,
8/9/2020,5,1062,5,148,0,35,15,875,
31/12/2021,16267,1717280,0,0,220,32273,0,0,
12/5/2020,0,301,0,36,0,0,3,258,
